ds_anon_user_id,module,meantimeToQuiz,nsessions,ndays,npages,nactivities,timeInModule,endToQuiz,quizGrade,pretestGrade
Stu_00ea8f20a0942ae1385989b901bec86f,1,969.7837731,4,3,27,70,7815.2,1.833333333,10,10
Stu_00ea8f20a0942ae1385989b901bec86f,2,419.9833333,5,2,18,69,1089.483333,60.01666667,9,10
Stu_00ea8f20a0942ae1385989b901bec86f,3,2429.151982,4,3,39,73,4541.85,40.7,10,10
Stu_00ea8f20a0942ae1385989b901bec86f,4,896.453084,2,2,12,51,1499.65,7.466666667,9,10
Stu_00ea8f20a0942ae1385989b901bec86f,5,1090.381925,4,3,20,29,2156,18.36666667,10,10
Stu_00ea8f20a0942ae1385989b901bec86f,6,1309.099188,3,2,19,71,1483.533333,595.9166667,9,10
Stu_00ea8f20a0942ae1385989b901bec86f,7,609.1521872,3,2,27,60,1316.633333,10.03333333,9,10
Stu_00ea8f20a0942ae1385989b901bec86f,8,1179.676014,2,2,17,28,692.6083333,3.616666667,10,10
Stu_00ea8f20a0942ae1385989b901bec86f,9,1078.119231,3,3,10,34,736.1666667,3172.408333,9,10
Stu_00ea8f20a0942ae1385989b901bec86f,10,1028.238128,3,2,11,47,1453.5,7.933333333,10,10
Stu_00ea8f20a0942ae1385989b901bec86f,11,739.1989583,1,1,3,8,39.83333333,720.4166667,10,10
Stu_00eb70d486b24f3d4ae35852a4350739,1,2993.949479,6,5,121,79,6116.8,29.28333333,10,14
Stu_00eb70d486b24f3d4ae35852a4350739,2,7297.206838,7,7,46,74,6818.033333,674.55,10,14
Stu_00eb70d486b24f3d4ae35852a4350739,3,7661.727549,8,7,120,71,6366.875,9833.316667,8,14
Stu_00eb70d486b24f3d4ae35852a4350739,5,1224.161549,4,3,44,29,609.8833333,1628.891667,10,14
Stu_00eb70d486b24f3d4ae35852a4350739,6,2938.638714,9,5,64,79,6525.016667,8672.05,8,14
Stu_00eb70d486b24f3d4ae35852a4350739,7,2382.741557,7,4,67,74,4502.866667,29.01666667,9,14
Stu_00eb70d486b24f3d4ae35852a4350739,8,3203.029023,5,4,29,39,4884.666667,67.25,8,14
Stu_00eb70d486b24f3d4ae35852a4350739,9,1391.45,4,3,18,37,2757.4,35.33333333,9,14
Stu_00eb70d486b24f3d4ae35852a4350739,10,2817.899596,3,3,18,56,4259.5,85.35,10,14
Stu_00eb70d486b24f3d4ae35852a4350739,11,5181.311194,2,2,6,9,1377.933333,3852.166667,10,14
Stu_0171e0a870a909018b1aa7590b3b75f5,1,3177.644928,6,5,30,79,8069.15,16.83333333,8,8
Stu_0171e0a870a909018b1aa7590b3b75f5,2,2136.741174,5,4,16,73,5932,10.13333333,7,8
Stu_0171e0a870a909018b1aa7590b3b75f5,3,3466.376242,5,5,33,73,11409.45,23.41666667,7,8
Stu_0171e0a870a909018b1aa7590b3b75f5,4,861.3640082,5,2,17,63,1786.433333,15.98333333,8,8
Stu_0171e0a870a909018b1aa7590b3b75f5,5,1277.07133,4,3,15,27,2974.4,13.31666667,6,8
Stu_0171e0a870a909018b1aa7590b3b75f5,6,230.344674,1,1,15,69,401.8166667,42.35,9,8
Stu_0171e0a870a909018b1aa7590b3b75f5,7,1828.411674,3,3,16,34,6677.2,14.7,7,8
Stu_0171e0a870a909018b1aa7590b3b75f5,8,568.6585253,3,2,15,39,1706.05,9.683333333,8,8
Stu_0171e0a870a909018b1aa7590b3b75f5,9,1519.767895,4,3,14,37,3094.8,18.9,8,8
Stu_0171e0a870a909018b1aa7590b3b75f5,10,605.4330218,3,2,11,40,3121.266667,13.68333333,7,8
Stu_0171e0a870a909018b1aa7590b3b75f5,11,4816.798148,1,1,3,9,65.7,4787.866667,7,8
Stu_018bebc77f387f4ea7a4e1d846e39203,1,8.933333333,1,1,3,0,1.966666667,7.7,7,9
Stu_018bebc77f387f4ea7a4e1d846e39203,2,80.99481838,1,1,26,57,196.2833333,5.666666667,10,9
Stu_018bebc77f387f4ea7a4e1d846e39203,3,132.9148077,2,3,101,71,4079.75,2.483333333,8,9
Stu_018bebc77f387f4ea7a4e1d846e39203,4,87.062249,1,1,20,63,156.7166667,16.91666667,10,9
Stu_018bebc77f387f4ea7a4e1d846e39203,5,7171.903965,5,4,36,29,5098.583333,57.66666667,9,9
Stu_018bebc77f387f4ea7a4e1d846e39203,6,902.1260922,4,3,40,72,749,2079.55,10,9
Stu_018bebc77f387f4ea7a4e1d846e39203,7,763.4803922,4,2,47,72,1429.733333,2.633333333,10,9
Stu_018bebc77f387f4ea7a4e1d846e39203,8,149.0795652,2,1,20,39,336.55,0.483333333,9,9
Stu_018bebc77f387f4ea7a4e1d846e39203,9,101.7259829,2,1,27,33,416.0666667,2.75,9,9
Stu_018bebc77f387f4ea7a4e1d846e39203,10,4851.822258,5,4,34,51,11360.7,0.183333333,8,9
Stu_018bebc77f387f4ea7a4e1d846e39203,11,1368.832367,3,2,6,9,1605.416667,11.58333333,8,9
Stu_019ba68ccdef374f63b8068c061abf21,1,3663.977495,5,4,93,79,5712.966667,13.98333333,8,10
Stu_019ba68ccdef374f63b8068c061abf21,2,2169.047413,4,4,29,74,2883.491667,35.10833333,10,10
Stu_019ba68ccdef374f63b8068c061abf21,3,6178.598993,6,5,64,74,2165.291667,8534.875,7,10
Stu_019ba68ccdef374f63b8068c061abf21,4,3523.377697,3,3,21,40,4730.283333,44.36666667,10,10
Stu_019ba68ccdef374f63b8068c061abf21,5,4383.404595,3,3,20,29,2273.25,3442.533333,7,10
Stu_019ba68ccdef374f63b8068c061abf21,6,1063.72522,2,2,27,49,1497.166667,1.133333333,10,10
Stu_019ba68ccdef374f63b8068c061abf21,7,5672.204499,3,4,29,62,8786.5,9.516666667,8,10
Stu_019ba68ccdef374f63b8068c061abf21,8,10.57380952,1,1,1,1,1.366666667,10,7,10
Stu_019ba68ccdef374f63b8068c061abf21,9,35.89466667,1,1,9,11,40.81666667,9.933333333,8,10
Stu_019ba68ccdef374f63b8068c061abf21,10,3.036956522,1,1,2,3,4.083333333,2.066666667,8,10
Stu_019ba68ccdef374f63b8068c061abf21,11,5826.095076,1,1,3,9,16.3,5818.516667,8,10
Stu_01b34612fde00a97755839580e9be475,1,31.13983653,2,2,31,64,4034.566667,4.233333333,9,8
Stu_01b34612fde00a97755839580e9be475,3,28.54108062,1,1,31,55,50.63333333,0.033333333,10,8
Stu_01b34612fde00a97755839580e9be475,4,16.99285714,1,1,13,7,18.98333333,6.933333333,8,8
Stu_01b34612fde00a97755839580e9be475,5,60.44945055,1,1,19,8,23.81666667,46.1,10,8
Stu_01b34612fde00a97755839580e9be475,6,13.54921875,1,1,10,21,30.61666667,0.466666667,7,8
Stu_01b34612fde00a97755839580e9be475,7,18.57973333,1,1,8,17,21.15,6.5,9,8
Stu_01b34612fde00a97755839580e9be475,8,216.1110687,1,1,14,39,32.36666667,198.05,7,8
