"ds_anon_user_id","module","meantimeToQuiz","nsessions","ndays","npages","nactivities","timeInModule","endToQuiz","meanSessionDiff","quizGrade","pretestGrade","examGrade","Nwords","Nactivities","Npages","crammers"
"Stu_00ea8f20a0942ae1385989b901bec86f",1,969.783773087071,4,3,27,70,7815.2,1.83333333333333,155008.333333333,10,10,27,18754,79,27,"Non-Crammer"
"Stu_00ea8f20a0942ae1385989b901bec86f",2,419.983333333333,5,2,18,69,1089.48333333333,60.0166666666667,57671.3333333333,9,10,27,9546,74,25,"Non-Crammer"
"Stu_00ea8f20a0942ae1385989b901bec86f",3,2429.15198159943,4,3,39,73,4541.85,40.7,44065.3333333333,10,10,27,12785,74,26,"Non-Crammer"
"Stu_00ea8f20a0942ae1385989b901bec86f",4,896.453083989501,2,2,12,51,1499.65,7.46666666666667,428409,9,10,27,9638,63,3,"Non-Crammer"
"Stu_00ea8f20a0942ae1385989b901bec86f",5,1090.38192488263,4,3,20,29,2156,18.3666666666667,251894.2,10,10,27,14163,29,18,"Non-Crammer"
"Stu_00ea8f20a0942ae1385989b901bec86f",6,1309.09918815664,3,2,19,71,1483.53333333333,595.916666666667,28598,9,10,27,17373,80,20,"Non-Crammer"
"Stu_00ea8f20a0942ae1385989b901bec86f",7,609.152187226597,3,2,27,60,1316.63333333333,10.0333333333333,398166,9,10,27,15293,74,10,"Non-Crammer"
"Stu_00ea8f20a0942ae1385989b901bec86f",8,1179.67601351351,2,2,17,28,692.608333333333,3.61666666666667,223735.666666667,10,10,27,11582,39,10,"Non-Crammer"
"Stu_00ea8f20a0942ae1385989b901bec86f",9,1078.11923076923,3,3,10,34,736.166666666667,3172.40833333333,126255.333333333,9,10,27,12430,37,14,"Non-Crammer"
"Stu_00ea8f20a0942ae1385989b901bec86f",10,1028.23812785388,3,2,11,47,1453.5,7.93333333333333,230317.666666667,10,10,27,14635,56,18,"Non-Crammer"
"Stu_00ea8f20a0942ae1385989b901bec86f",11,739.198958333333,1,1,3,8,39.8333333333333,720.416666666667,426181,10,10,27,3043,9,2,"Crammer"
"Stu_00eb70d486b24f3d4ae35852a4350739",1,2993.94947916667,6,5,121,79,6116.8,29.2833333333333,98823.8571428571,10,14,34,18754,79,27,"Non-Crammer"
"Stu_00eb70d486b24f3d4ae35852a4350739",2,7297.20683760684,7,7,46,74,6818.03333333333,674.55,123027.6,10,14,34,9546,74,25,"Non-Crammer"
"Stu_00eb70d486b24f3d4ae35852a4350739",3,7661.72754934211,8,7,120,71,6366.875,9833.31666666667,84415.5833333333,8,14,34,12785,74,26,"Non-Crammer"
"Stu_00eb70d486b24f3d4ae35852a4350739",5,1224.16154910097,4,3,44,29,609.883333333333,1628.89166666667,28582,10,14,34,14163,29,18,"Non-Crammer"
"Stu_00eb70d486b24f3d4ae35852a4350739",6,2938.63871449925,9,5,64,79,6525.01666666667,8672.05,100953.25,8,14,34,17373,80,20,"Non-Crammer"
"Stu_00eb70d486b24f3d4ae35852a4350739",7,2382.74155722326,7,4,67,74,4502.86666666667,29.0166666666667,75691,9,14,34,15293,74,10,"Non-Crammer"
"Stu_00eb70d486b24f3d4ae35852a4350739",8,3203.02902298851,5,4,29,39,4884.66666666667,67.25,100832.142857143,8,14,34,11582,39,10,"Non-Crammer"
"Stu_00eb70d486b24f3d4ae35852a4350739",9,1391.45,4,3,18,37,2757.4,35.3333333333333,85984,9,14,34,12430,37,14,"Non-Crammer"
"Stu_00eb70d486b24f3d4ae35852a4350739",10,2817.89959630911,3,3,18,56,4259.5,85.35,84520,10,14,34,14635,56,18,"Non-Crammer"
"Stu_00eb70d486b24f3d4ae35852a4350739",11,5181.31119402985,2,2,6,9,1377.93333333333,3852.16666666667,58185.5,10,14,34,3043,9,2,"Non-Crammer"
"Stu_0171e0a870a909018b1aa7590b3b75f5",1,3177.64492753623,6,5,30,79,8069.15,16.8333333333333,90763.4,8,8,22,18754,79,27,"Non-Crammer"
"Stu_0171e0a870a909018b1aa7590b3b75f5",2,2136.74117370892,5,4,16,73,5932,10.1333333333333,222158.8,7,8,22,9546,74,25,"Non-Crammer"
"Stu_0171e0a870a909018b1aa7590b3b75f5",3,3466.37624183007,5,5,33,73,11409.45,23.4166666666667,239785.8,7,8,22,12785,74,26,"Non-Crammer"
"Stu_0171e0a870a909018b1aa7590b3b75f5",4,861.364008179959,5,2,17,63,1786.43333333333,15.9833333333333,26358.4,8,8,22,9638,63,3,"Non-Crammer"
"Stu_0171e0a870a909018b1aa7590b3b75f5",5,1277.07133027523,4,3,15,27,2974.4,13.3166666666667,147561.5,6,8,22,14163,29,18,"Non-Crammer"
"Stu_0171e0a870a909018b1aa7590b3b75f5",6,230.344674012856,1,1,15,69,401.816666666667,42.35,474701,9,8,22,17373,80,20,"Crammer"
"Stu_0171e0a870a909018b1aa7590b3b75f5",7,1828.41167369902,3,3,16,34,6677.2,14.7,155127.8,7,8,22,15293,74,10,"Non-Crammer"
"Stu_0171e0a870a909018b1aa7590b3b75f5",8,568.658525345622,3,2,15,39,1706.05,9.68333333333333,34090.6666666667,8,8,22,11582,39,10,"Non-Crammer"
"Stu_0171e0a870a909018b1aa7590b3b75f5",9,1519.76789473684,4,3,14,37,3094.8,18.9,149063,8,8,22,12430,37,14,"Non-Crammer"
"Stu_0171e0a870a909018b1aa7590b3b75f5",10,605.433021806854,3,2,11,40,3121.26666666667,13.6833333333333,228673.75,7,8,22,14635,56,18,"Non-Crammer"
"Stu_0171e0a870a909018b1aa7590b3b75f5",11,4816.79814814815,1,1,3,9,65.7,4787.86666666667,3467,7,8,22,3043,9,2,"Crammer"
"Stu_018bebc77f387f4ea7a4e1d846e39203",1,8.93333333333333,1,1,3,0,1.96666666666667,7.7,NA,7,9,31,18754,79,27,"Crammer"
"Stu_018bebc77f387f4ea7a4e1d846e39203",2,80.9948183760684,1,1,26,57,196.283333333333,5.66666666666667,155648.333333333,10,9,31,9546,74,25,"Crammer"
"Stu_018bebc77f387f4ea7a4e1d846e39203",3,132.914807692308,2,3,101,71,4079.75,2.48333333333333,158126.111111111,8,9,31,12785,74,26,"Non-Crammer"
"Stu_018bebc77f387f4ea7a4e1d846e39203",4,87.0622489959839,1,1,20,63,156.716666666667,16.9166666666667,63461.5,10,9,31,9638,63,3,"Crammer"
"Stu_018bebc77f387f4ea7a4e1d846e39203",5,7171.90396505376,5,4,36,29,5098.58333333333,57.6666666666667,116910.833333333,9,9,31,14163,29,18,"Non-Crammer"
"Stu_018bebc77f387f4ea7a4e1d846e39203",6,902.12609223301,4,3,40,72,749,2079.55,227692.111111111,10,9,31,17373,80,20,"Non-Crammer"
"Stu_018bebc77f387f4ea7a4e1d846e39203",7,763.480392156863,4,2,47,72,1429.73333333333,2.63333333333333,81867.7142857143,10,9,31,15293,74,10,"Non-Crammer"
"Stu_018bebc77f387f4ea7a4e1d846e39203",8,149.079565217391,2,1,20,39,336.55,0.483333333333333,128202.777777778,9,9,31,11582,39,10,"Non-Crammer"
"Stu_018bebc77f387f4ea7a4e1d846e39203",9,101.725982905983,2,1,27,33,416.066666666667,2.75,10191.1428571429,9,9,31,12430,37,14,"Non-Crammer"
"Stu_018bebc77f387f4ea7a4e1d846e39203",10,4851.82225806452,5,4,34,51,11360.7,0.183333333333333,385255.222222222,8,9,31,14635,56,18,"Non-Crammer"
"Stu_018bebc77f387f4ea7a4e1d846e39203",11,1368.83236714976,3,2,6,9,1605.41666666667,11.5833333333333,50689.3333333333,8,9,31,3043,9,2,"Non-Crammer"
"Stu_019ba68ccdef374f63b8068c061abf21",1,3663.9774952919,5,4,93,79,5712.96666666667,13.9833333333333,86894.7777777778,8,10,28,18754,79,27,"Non-Crammer"
"Stu_019ba68ccdef374f63b8068c061abf21",2,2169.04741306192,4,4,29,74,2883.49166666667,35.1083333333333,68122.8,10,10,28,9546,74,25,"Non-Crammer"
"Stu_019ba68ccdef374f63b8068c061abf21",3,6178.59899348727,6,5,64,74,2165.29166666667,8534.875,64317.25,7,10,28,12785,74,26,"Non-Crammer"
"Stu_019ba68ccdef374f63b8068c061abf21",4,3523.37769726248,3,3,21,40,4730.28333333333,44.3666666666667,216825.666666667,10,10,28,9638,63,3,"Non-Crammer"
"Stu_019ba68ccdef374f63b8068c061abf21",5,4383.40459533608,3,3,20,29,2273.25,3442.53333333333,167857.142857143,7,10,28,14163,29,18,"Non-Crammer"
"Stu_019ba68ccdef374f63b8068c061abf21",6,1063.72522012579,2,2,27,49,1497.16666666667,1.13333333333333,23376.75,10,10,28,17373,80,20,"Non-Crammer"
